ESTADOS,MUNICIPIOS,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,ACCESO,POBLACION RURAL,POBREZA ALIMENTARIA 2000,POBREZA ALIMENTARIA 2002
Chiapas,Mazapa de Madero,0.63558,0.05265,0.47423000000000004,0.5563600000000001,0.6934100000000001,0.00275,120.42105,100.0,0.61,0.58
Chiapas,Aldama,0.96325,0.45761999999999997,0.26253000000000004,0.03783,0.45682,0.0,184.7619,100.0,0.66,0.68
Chiapas,Soyal?,0.56006,0.16969,0.76612,0.61435,0.8366899999999999,0.0,12.64286,24.19209,0.58,0.52
Chiapas,Osumacinta,0.64604,0.10228999999999999,0.68093,0.43236,0.63561,0.00203,178.33333000000002,100.0,0.59,0.56
Chiapas,Tenejapa,0.8943700000000001,0.07155,0.67168,0.0732,0.77915,0.00186,119.22641999999999,92.34643,0.69,0.67
Chiapas,Ixtapa,0.5644399999999999,0.19047999999999998,0.68604,0.37775,0.78273,0.00121,57.3,77.30535,0.61,0.58
Chiapas,Chamula,0.88484,0.36427,0.35563,0.08599,0.77154,0.007520000000000001,85.62385,95.14956,0.65,0.64
Chiapas,Chiapa de Corzo,0.49823,0.26736,0.47585,0.40998999999999997,0.7822600000000001,0.00492,66.35043,51.59848,0.55,0.51
Chiapas,Oxchuc,0.94095,0.053860000000000005,0.1104,0.0322,0.36195,0.00029,109.74713,83.80711,0.71,0.69
Chiapas,Mitontic,0.87645,0.19724,0.46088,0.31611999999999996,0.8261799999999999,0.00126,164.73333,100.0,0.64,0.63
Chiapas,Altamirano,0.8554299999999999,0.04061,0.20076,0.03468,0.20783000000000001,0.00013000000000000002,381.65487,71.95644,0.56,0.55
Chiapas,Jiquipilas,0.52441,0.17145,0.28966,0.33521,0.61853,0.00893,123.74286000000001,76.36603000000001,0.55,0.54
Chiapas,Tuxtla Guti?rrez,0.5230199999999999,0.37071,0.25522,0.36949,0.4655,0.031139999999999998,82.36364,0.43603000000000003,0.49,0.47
Chiapas,Huixtán,0.9207299999999999,0.04635,0.24545999999999998,0.17629,0.72963,0.00128,155.94231000000002,100.0,0.67,0.67
Chiapas,Zinacantán,0.8506100000000001,0.55587,0.6130800000000001,0.10985999999999999,0.7339600000000001,0.012459999999999999,52.785709999999995,50.43692,0.67,0.67
Chiapas,Chanal,0.9991899999999999,0.016059999999999998,0.11538,0.09105,0.46547,0.0,139.61538000000002,31.8314,0.65,0.63
Chiapas,Suchiapa,0.44628999999999996,0.2382,0.23849,0.3753,0.60192,0.00066,46.25,22.88861,0.55,0.51
Chiapas,San Lucas,0.8984,0.23868000000000003,0.71246,0.22619,0.62203,0.0,68.0,26.91698,0.63,0.63
Chiapas,Las Margaritas,0.78522,0.0502,0.19638,0.03614,0.55377,0.0017800000000000001,467.81955,82.8274,0.63,0.63
Chiapas,Acala,0.6069899999999999,0.37837,0.40487,0.30272,0.68639,0.01199,78.35385,35.666959999999996,0.59,0.56
Chiapas,Teopisca,0.83186,0.20494,0.66674,0.1719,0.71053,0.00242,64.69492,49.35176,0.64,0.62
Chiapas,Benem?rito de las Am?rica,0.7630600000000001,0.17878,0.14859,0.10475,0.14407,0.00143,528.68182,57.33583,0.67,0.69
Chiapas,Motozintla,0.50925,0.11785,0.61569,0.44877,0.7893899999999999,0.00524,241.16471,70.58372,0.61,0.6
Chiapas,Santiago el Pinar,0.87169,0.27214,0.7682100000000001,0.0069099999999999995,0.58218,0.0,187.36364,100.0,0.69,0.68
Chiapas,Suchiate,0.54797,0.27676,0.14390999999999998,0.50416,0.74115,0.013009999999999999,29.66667,44.69274,0.55,0.5
Chihuahua,Carich?,0.7984600000000001,0.28019,0.19432,0.07461,0.13387000000000002,0.01786,555.51938,100.0,0.49,0.5
Chihuahua,Manuel Benavides,0.054110000000000005,0.021830000000000002,0.54046,0.6099399999999999,0.8735299999999999,0.02166,406.85714,100.0,0.25,0.23
Chihuahua,Batopilas,0.93071,0.32976,0.33426,0.05776,0.05557,0.0005,675.5475299999999,100.0,0.5,0.54
Chihuahua,Tem?sachi,0.45493999999999996,0.1717,0.41126999999999997,0.12575999999999998,0.28215,0.06289,376.55172000000005,100.0,0.39,0.37
Chihuahua,Dr. Belisario Dom?nguez,0.07666,0.0192,0.85854,0.7447600000000001,0.938,0.10459,331.83333,100.0,0.23,0.2
Chihuahua,Bach?niva,0.02976,0.08302000000000001,0.86341,0.6191399999999999,0.88264,0.08879,184.45833000000002,100.0,0.26,0.21
Chihuahua,El Tule,0.18413,0.020380000000000002,0.74161,0.46141000000000004,0.95615,0.02037,291.71429,100.0,0.28,0.25
Chihuahua,Matach?,0.16116,0.08462,0.69455,0.32099,0.81216,0.05062,156.5625,100.0,0.31,0.25
Chihuahua,Julimes,0.057839999999999996,0.05389,0.91669,0.73807,0.9373600000000001,0.09996000000000001,152.85714,100.0,0.24,0.2
Chihuahua,Aquiles Serdán,0.02316,0.15174,0.79515,0.67408,0.88508,0.14214000000000002,135.16666999999998,100.0,0.21,0.17
Chihuahua,L?pez,0.09107,0.09735,0.8921600000000001,0.6055,0.9337,0.10511,87.0,100.0,0.27,0.21
Chihuahua,Nonoava,0.74724,0.10238,0.40204,0.1174,0.40936,0.00974,705.71429,100.0,0.43,0.46
Chihuahua,Delicias,0.08753,0.10995999999999999,0.7224,0.64978,0.8981600000000001,0.24220999999999998,26.82927,10.49766,0.22,0.18
Chihuahua,Guachochi,0.8513,0.35495,0.10121000000000001,0.016819999999999998,0.04038,0.0012900000000000001,267.48849,76.31663,0.54,0.52
Chihuahua,Saucillo,0.03105,0.08665,0.8970600000000001,0.72168,0.96841,0.15156,26.584909999999997,43.48975,0.22,0.17
Chihuahua,Moris,0.76198,0.0542,0.65304,0.11675,0.38239,0.008790000000000001,728.36765,100.0,0.39,0.43
Chihuahua,Rosales,0.04471,0.12841,0.7167,0.61774,0.8639600000000001,0.1408,70.84615,67.91369,0.25,0.2
Chihuahua,Urique,0.86067,0.22712,0.34517,0.06711,0.1345,0.00345,916.43841,100.0,0.47,0.51
Chihuahua,La Cruz,0.04941,0.058289999999999995,0.87398,0.6743,0.96714,0.14285,69.54545,100.0,0.23,0.18
Chihuahua,Meoqui,0.04185,0.07952000000000001,0.8555299999999999,0.70768,0.92104,0.17519,38.95556,32.50287,0.24,0.18
Chihuahua,Huejotitán,0.11464,0.10182999999999999,0.75379,0.42878999999999995,0.84485,0.02785,163.45,100.0,0.3,0.25
Chihuahua,Cusihuiriachi,0.06216,0.0624,0.8253299999999999,0.44558000000000003,0.88426,0.07311000000000001,117.07547,100.0,0.29,0.23
Chihuahua,Hidalgo del Parral,0.098,0.07873,0.44063,0.33665,0.70498,0.11723,155.97916999999998,1.9291599999999998,0.28,0.23
Chihuahua,Gran Morelos,0.08148999999999999,0.054770000000000006,0.8630700000000001,0.63808,0.8938200000000001,0.09121,149.18518999999998,100.0,0.26,0.21
Chihuahua,Namiquipa,0.04186,0.01775,0.8655,0.63122,0.93419,0.16230999999999998,165.34247,89.0623,0.26,0.21
Chihuahua,Valle de Zaragoza,0.07297000000000001,0.07382000000000001,0.59029,0.54643,0.7477,0.05969,447.29787000000005,100.0,0.26,0.25
Chihuahua,Riva Palacio,0.04871,0.03503,0.93186,0.62171,0.94715,0.23968000000000003,221.04878,100.0,0.27,0.25
Chihuahua,Guazapares,0.83339,0.21056999999999998,0.52354,0.0249,0.22216999999999998,0.0028399999999999996,1220.31126,100.0,0.43,0.51
Chihuahua,Balleza,0.7037,0.24645,0.12395999999999999,0.08116,0.19413,0.00905,344.27679,100.0,0.51,0.5
Chihuahua,Ascensi?n,0.09392,0.11556,0.74867,0.44478999999999996,0.48306000000000004,0.14534,296.82608999999997,26.81526,0.3,0.3
Chihuahua,Praxedis G. Guerrero,0.0237,0.09266,0.96985,0.32936,0.90169,0.0132,21.66667,28.321170000000002,0.28,0.25
Chihuahua,Guadalupe y Calvo,0.75448,0.062079999999999996,0.36318,0.0898,0.11657000000000001,0.0050799999999999994,480.58347000000003,93.84965,0.51,0.51
Chihuahua,Janos,0.0292,0.04807,0.8823700000000001,0.48832,0.8491299999999999,0.18425,203.69231000000002,75.44547,0.29,0.28
Chihuahua,San Francisco de Conchos,0.0625,0.07389,0.8898799999999999,0.72141,0.94215,0.15250999999999998,73.8,100.0,0.23,0.18
Chihuahua,Ahumada,0.08713,0.0693,0.81498,0.5038699999999999,0.8355799999999999,0.17570999999999998,175.5641,27.8548,0.25,0.21
Chihuahua,Buenaventura,0.05722000000000001,0.08342999999999999,0.75133,0.59921,0.80204,0.12105,160.22727,43.51316,0.25,0.2
Chihuahua,Coronado,0.04505,0.02872,0.80116,0.58233,0.9787399999999999,0.01636,140.0,100.0,0.28,0.21
Chihuahua,Maguarichi,0.8723700000000001,0.41925,0.29238000000000003,0.03658,0.24488000000000001,0.0,592.58824,100.0,0.46,0.46
Chihuahua,San Francisco del Oro,0.10355,0.04356,0.49986,0.27325,0.7541800000000001,0.15034,85.25,14.519329999999998,0.29,0.23
Chihuahua,Casas Grandes,0.07787999999999999,0.06888,0.7177399999999999,0.31649,0.59029,0.05114,209.65,62.04518,0.3,0.27
Chihuahua,Uruachi,0.84573,0.16157,0.47041000000000005,0.07116,0.07011,0.027819999999999998,1179.32075,100.0,0.42,0.5
Chihuahua,Nuevo Casas Grandes,0.03155,0.01542,0.87171,0.42915,0.6285,0.11317999999999999,115.17391,7.376360000000001,0.3,0.28
Chihuahua,Santa Isabel,0.08281000000000001,0.051789999999999996,0.868,0.71583,0.8884799999999999,0.1756,169.7619,100.0,0.25,0.2
Chihuahua,Coyame del Sotol,0.03945,0.07449,0.9029299999999999,0.7732899999999999,0.92675,0.028710000000000003,304.46154,100.0,0.23,0.2
Chihuahua,Ignacio Zaragoza,0.07895,0.05097,0.8688600000000001,0.34467,0.82991,0.05955,105.25,59.38458000000001,0.28,0.23
Chihuahua,Ch?nipas,0.8796700000000001,0.09235,0.45876999999999996,0.03141,0.31472,0.02043,1156.91549,100.0,0.39,0.49
Chihuahua,Madera,0.44856,0.15663,0.49621000000000004,0.11879,0.50493,0.0254,274.26562,33.941159999999996,0.37,0.34
Chihuahua,Bocoyna,0.70765,0.46146000000000004,0.21331,0.0338,0.11179000000000001,0.00135,201.67083,49.937290000000004,0.5,0.46
Chihuahua,Santa Bárbara,0.16774,0.10457999999999999,0.45019,0.28131999999999996,0.75672,0.09417,71.65,14.262310000000001,0.31,0.23
