PERIMETER,MUNIG_,MUNIG_ID,ADM1CODE,ADM2CODE,ADM1NAME,ADM2NAME,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,MEANILIT15,MEANSELE15,MEANCELE15,MEANSSEC15,MEANCSEC15,ACCESO,RURPER,FGT_0RUR00,FGT_0RUR02,MEANY2000,MEANY2002,POPDENS,FOODEXP
3.89600,83.00000,2293.00000,08,017,Chihuahua,Cuauht?moc,0.02154,0.04404,0.86030,0.66778,0.95020,0.27772,0.09813,0.56644,1.58586,0.15665,0.13715,107.26923,23.43180,0.25000,0.21,1125.07,1258.15,34.51038,220.27000
2.52700,84.00000,1628.00000,26,009,Sonora,Bacanora,0.16171,0.00629,0.89830,0.75974,0.88294,0.04177,0.29572,0.93836,0.52800,0.12635,0.22162,111.60000,100.00000,0.28000,0.25,1049.02,1056.83,0.83882,244.92999
2.56800,85.00000,1659.00000,26,061,Sonora,Soyopa,0.14506,0.06128,0.90123,0.55960,0.93454,0.01693,0.20079,0.95438,0.45750,0.14146,0.43320,314.75000,100.00000,0.28000,0.28,1007.89,933.07,0.97184,231.94000
2.03700,86.00000,1646.00000,26,037,Sonora,Mazatán,0.02757,0.01128,0.98371,0.95990,0.81955,0.05764,0.38346,0.35338,0.42230,0.23057,0.58145,193.50000,100.00000,0.26000,0.23,1136.39,1105.29,2.26198,252.28999
1.64200,87.00000,2269.00000,08,006,Chihuahua,Bach?niva,0.02976,0.08302,0.86341,0.61914,0.88264,0.08879,0.15990,1.07532,0.65420,0.06368,0.15344,184.45833,100.00000,0.26000,0.21,1113.89,1268.68,6.85536,226.52000
6.00500,88.00000,2436.00000,05,020,Coahuila de Zaragoza,Múzquiz,0.20617,0.15178,0.64116,0.25576,0.72105,0.10307,0.45805,0.81331,0.53294,0.15213,0.26479,124.66667,5.64893,0.34000,0.31,841.85,904.77,7.60211,224.11999
4.55200,89.00000,1649.00000,26,021,Sonora,La Colorada,0.15548,0.02980,0.85500,0.72713,0.94094,0.19915,0.13457,0.90204,0.43711,0.14447,0.57979,204.87500,100.00000,0.25000,0.23,1147.81,1095.94,0.56055,266.20999
1.36300,90.00000,2270.00000,08,043,Chihuahua,Matach?,0.16116,0.08462,0.69455,0.32099,0.81216,0.05062,0.28559,1.07998,0.71080,0.08677,0.18389,156.56250,100.00000,0.31000,0.25,930.40,1064.45,4.49795,198.38999
1.48400,91.00000,1627.00000,26,005,Sonora,Arivechi,0.22013,0.03655,0.95442,0.62338,0.93165,0.04392,0.19049,0.95485,0.68943,0.14946,0.29269,184.25000,100.00000,0.29000,0.28,958.72,948.66,2.18682,226.97000
1.21100,92.00000,2422.00000,05,025,Coahuila de Zaragoza,Piedras Negras,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,-9999.00,-9999.00,0.00000,-9999.00000
4.45200,93.00000,2277.00000,08,031,Chihuahua,Guerrero,0.36872,0.19697,0.49277,0.19008,0.46307,0.05437,0.46225,1.15446,0.55381,0.07261,0.13670,169.29268,56.29906,0.38000,0.34,746.65,843.53,6.86466,169.16999
3.46100,94.00000,2240.00000,08,038,Chihuahua,Julimes,0.05784,0.05389,0.91669,0.73807,0.93736,0.09996,0.15560,1.04139,0.52655,0.08521,0.30617,152.85714,100.00000,0.24000,0.20,1243.41,1327.72,1.25861,235.97999
1.27500,95.00000,1648.00000,26,054,Sonora,San Javier,0.24305,0.09028,0.79167,0.53472,0.81944,0.01389,0.09722,0.59722,0.44444,0.09722,0.22916,324.50000,100.00000,0.24000,0.23,1194.65,1126.47,0.49677,287.04000
7.68100,96.00000,2239.00000,08,011,Chihuahua,Camargo,0.04197,0.06806,0.80810,0.58480,0.88840,0.14847,0.13430,0.95626,0.70209,0.14192,0.32385,106.21277,18.31109,0.24000,0.20,1182.77,1288.86,3.34643,224.32000
1.11900,97.00000,2241.00000,08,004,Chihuahua,Aquiles Serdán,0.02316,0.15174,0.79515,0.67408,0.88508,0.14214,0.11591,0.57227,0.92608,0.35929,0.71560,135.16667,100.00000,0.21000,0.17,1206.66,1334.80,11.05554,231.77000
5.61500,98.00000,2437.00000,05,031,Coahuila de Zaragoza,San Buenaventura,0.13937,0.14768,0.78559,0.30452,0.79881,0.09836,0.15934,0.82507,0.55825,0.06747,0.46078,157.95455,10.68542,0.29000,0.25,978.09,1056.35,3.13452,257.42001
1.38100,99.00000,2426.00000,05,022,Coahuila de Zaragoza,Nava,0.13872,0.12188,0.59334,0.44089,0.81413,0.07912,0.18615,0.86361,0.71040,0.09359,0.34579,39.28571,5.25653,0.31000,0.25,911.96,1056.48,25.26282,263.54000
3.29800,100.00000,1629.00000,26,069,Sonora,Y?cora,0.51871,0.10233,0.48312,0.29555,0.55841,0.01281,0.53982,0.99104,0.43599,0.14574,0.25160,193.30769,58.44455,0.42000,0.40,655.64,664.76,2.27815,177.92999
6.91400,101.00000,1655.00000,26,029,Sonora,Guaymas,0.45389,0.18309,0.66944,0.25683,0.75272,0.13129,0.46692,0.86157,0.48494,0.19669,0.45049,84.06780,14.48642,0.36000,0.36,784.94,738.32,16.40593,203.80000
3.03100,102.00000,2243.00000,08,055,Chihuahua,Rosales,0.04471,0.12841,0.71670,0.61774,0.86396,0.14080,0.19796,0.71251,0.67425,0.15514,0.33933,70.84615,67.91369,0.25000,0.20,1194.65,1310.89,7.83629,231.57000
0.98900,103.00000,1630.00000,26,044,Sonora,Onavas,0.32076,0.01415,0.99056,0.43396,0.99528,0.00000,0.23821,1.34906,0.15094,0.23821,0.30896,200.00000,100.00000,0.32000,0.31,885.02,861.40,0.90749,213.49000
1.86500,104.00000,1653.00000,26,062,Sonora,Suaqui Grande,0.01945,0.02529,0.98832,0.98249,0.99222,0.00194,0.03891,0.70557,0.31323,0.10700,0.59014,316.00000,100.00000,0.24000,0.20,1255.91,1186.33,1.41442,282.02999
2.89600,105.00000,2430.00000,05,012,Coahuila de Zaragoza,Guerrero,0.06636,0.18892,0.83821,0.63308,0.92086,0.09506,0.31912,0.99486,0.43550,0.03021,0.27494,153.54545,100.00000,0.29000,0.23,1028.25,1152.32,0.70705,290.45001
